Group,Mn,Fe,Ca,Mg,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,P
Pegmatite,6.930432875,19.6659295,0.398010054,0.179309985,913.9323463,0.003614485,0.003119638,0.012758841,0.300817959,1.864662852,0.005382729,14.50209534,9.312679123,111.9475573,31.96490301,139.6369702,36.51314598,415.5189733,74.93119083,318.5382269
Pegmatite,6.685858396,19.43559915,0.381590865,0.176086778,806.5422711,0,0.006217896,0.005080559,0.053798758,1.831671257,0.010716878,13.92414098,8.622627392,99.90103972,26.44395343,110.0676573,27.38932116,294.577817,45.84966102,386.0507057
Pegmatite,6.04084141,20.6698653,0.331464923,0.184559023,751.5216862,0,0,0,0.032950356,0.808321667,0.005296677,12.5553205,8.600445909,100.0266222,25.05252495,92.41801654,20.8086377,197.9592173,32.00965131,264.9195786
Pegmatite,5.779124609,20.6892701,0.271819985,0.172648491,350.0644008,0,0,0,0,1.072940059,0,15.48182933,8.678727161,62.53779135,8.654726434,17.85947402,2.462657603,14.28259037,1.533242164,560.6587124
Pegmatite,5.512081956,20.29005691,0.249925119,0.152117032,197.8155711,0,0,0,0.032476966,0.651457934,0.010422052,7.045426678,4.24707103,32.43220277,5.042953159,11.65064951,1.768687111,11.99166335,1.327518078,366.0127256
Pegmatite,7.192588693,20.18049053,0.425381727,0.185569206,928.1169182,0,0.003072385,0.002498293,0.293372402,2.254657522,0.005248998,15.08147737,10.2198589,120.103594,31.12264968,127.2060098,30.66003738,313.4587351,48.82623437,336.7439978
Pegmatite,7.5114152,19.1765038,0.36309511,0.168316995,866.3559498,0,0.008595558,0,0.151843692,2.137033808,0,14.19765005,8.626574475,105.1907775,29.16636792,131.3197175,35.67171294,412.3972297,72.68254009,425.4879062
Pegmatite,7.430223906,19.07855135,0.39423742,0.07767952,856.0304999,0,0.008245341,0,0.349232548,2.476636673,0.004692022,15.39610742,9.338950264,107.6493022,28.97375856,124.0925434,34.65229576,397.495405,67.70210931,426.0682273
Pegmatite,6.955670455,20.23717978,0.394712392,0.176658175,916.6710329,0,0.012000046,0.004879761,0.126940597,1.683033309,0.005119544,15.10885087,9.193480244,114.3865017,31.32398798,133.9498119,35.04563349,393.7873891,69.50744593,374.928121
Pegmatite,6.158858718,20.64348739,0.325128476,0.164531415,867.4513461,0.00342343,0.047812843,0.01364821,0.094740196,1.979882987,0,15.7211318,10.07773024,115.5405097,28.33511986,108.8464409,25.73195343,255.7755484,41.84791802,348.6222511
Pegmatite,5.545266399,20.51452574,0.318647753,0.175667417,485.3380279,0,0,0.005203613,0,1.298441458,0,13.40608825,8.634059863,76.99699512,13.1439374,35.02700514,6.126611461,46.6071564,5.70539479,339.7676467
Pegmatite,6.220072134,20.06525272,0.338496824,0.181669002,682.9504192,0,0.003076598,0.002502617,0.032448809,1.561256538,0,15.42986264,9.506490117,99.43877631,20.68297935,64.27299784,12.39333033,101.185042,13.59839873,299.0387744
Pegmatite,5.943814002,20.98817885,0.330255813,0.186162976,597.9477632,0,0.003051244,0,0.096448373,1.439250889,0.00519908,15.02779798,9.454555859,90.63476165,17.42448145,51.75541784,9.433965903,76.80978716,10.30721598,321.5742559
Pegmatite,5.587681109,20.89150582,0.306964743,0.175783083,725.7825079,0,0.002961329,0.002408905,0.093760801,0.777598965,0.010098799,11.91995616,8.474314664,94.03863745,23.95824402,89.59647479,20.53123276,202.2639018,32.85006763,240.4335414
Pegmatite,5.363823951,20.84883148,0.239599019,0.162856562,123.3970014,0,0,0,0,0.611555,0,8.737621355,4.751431186,28.62009937,2.688708097,3.904003776,0.430346323,2.106017289,0.218056652,336.5460829
Pegmatite,5.902850147,20.96150454,0.314105052,0.173673942,684.1846182,0,0,0,0.034109527,0.927493566,0.005449019,11.63003252,8.421849764,93.17046776,22.47573119,82.50624115,18.63462435,180.6900458,28.52298125,301.668114
Pegmatite,5.991596173,20.59999814,0.327918097,0.18169339,569.2718503,0,0,0.004789135,0.15801343,1.298731027,0,13.78677715,8.318663182,84.37006821,17.34557234,52.45690458,10.18203499,87.65232661,12.16968796,368.9858544
Pegmatite,5.979089506,20.31433774,0.321082848,0.184379832,199.9453903,0,0,0,0.030780367,1.043485298,0,10.09177975,5.442536826,36.86611876,5.000183863,10.13793969,1.425918924,8.9122793,0.938611433,300.2844446
Pegmatite,5.889759611,17.9170225,0.305592019,0.182802192,540.0139522,0,0,0,0.056186633,1.25091938,0,14.21114387,8.569795962,82.0508443,15.9010811,44.15447467,8.511599484,72.38252502,9.481625127,306.2205903
Pegmatite,5.999586405,20.73531156,0.323445614,0.181386332,697.4002926,0,0,0,0.065244066,1.360763747,0,12.13506114,8.411247543,94.75907147,22.71532922,79.81112753,18.97483896,193.9951402,29.87703945,329.7685412
Aplite,4.524826715,19.68665911,0.322190321,0.271774697,542.7289294,0.003151771,0,0,0.028774093,0.646054526,0.004587505,9.513000194,6.474179365,75.1198348,19.5592904,67.55313556,13.69329836,120.7808037,18.60398401,204.84236
